date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:44	50972/50972	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Oct%202015%2002:19:52%20GMT	http://www.gpower.co/image/picquote/bg.jpg	./www.gpower.co/image/picquote/bg.jpg	(from http://www.gpower.co/picquote.html)
16:23:48	21952/21952	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202015%2003:53:13%20GMT	http://www.gpower.co/image/picquote/logo.png	./www.gpower.co/image/picquote/logo.png	(from http://www.gpower.co/picquote.html)
16:23:50	6911/6911	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202015%2003:53:11%20GMT	http://www.gpower.co/image/picquote/download.png	./www.gpower.co/image/picquote/download.png	(from http://www.gpower.co/picquote.html)
16:23:51	94249/94249	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202015%2003:53:25%20GMT	http://www.gpower.co/image/picquote/p0.png	./www.gpower.co/image/picquote/p0.png	(from http://www.gpower.co/picquote.html)
16:23:58	170298/170298	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jan%202016%2007:51:20%20GMT	http://www.gpower.co/image/follow/dvc_follow.png	./www.gpower.co/image/follow/dvc_follow.png	(from http://www.gpower.co/follow.html)
16:23:59	225112/225112	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Oct%202015%2009:36:32%20GMT	http://www.gpower.co/image/repost/dvc_repost.png	./www.gpower.co/image/repost/dvc_repost.png	(from http://www.gpower.co/repost.html)
16:24:00	89/89	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Aug%202015%2007:09:03%20GMT	http://www.gpower.co/image/gp/sitemapdot.png	./www.gpower.co/image/gp/sitemapdot.png	(from http://www.gpower.co/sitemap.html)
16:24:01	73078/73078	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202015%2003:53:25%20GMT	http://www.gpower.co/image/picquote/p1.png	./www.gpower.co/image/picquote/p1.png	(from http://www.gpower.co/picquote.html)
16:24:02	11083/11083	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Jul%202015%2009:13:08%20GMT	http://www.gpower.co/image/gp/bg_app_1.jpg	./www.gpower.co/image/gp/bg_app_1.jpg	(from http://www.gpower.co/)
16:24:14	172867/172867	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202015%2003:53:27%20GMT	http://www.gpower.co/image/picquote/p3.png	./www.gpower.co/image/picquote/p3.png	(from http://www.gpower.co/picquote.html)
16:24:15	242129/242129	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202015%2003:53:29%20GMT	http://www.gpower.co/image/picquote/p2.png	./www.gpower.co/image/picquote/p2.png	(from http://www.gpower.co/picquote.html)
16:24:19	26302/26302	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202016%2010:59:45%20GMT	http://www.gpower.co/image/kiki/logo_cn.png	./www.gpower.co/image/kiki/logo_cn.png	(from http://www.gpower.co/kiki.html)
